41525,cer_masterybadgecategory_mp_lethal,,,0,0,9,74042,10000,,11,41588|41590|41592|41594|41596|41598|41600|41587|48370,,,,,MP|LP_MP|HC,lethal,0
41606,cer_masterybadge_mp_airdrop_escort_cer,airdrop_escort_cer,38298,0,0,10|25|50,65156||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41607,cer_masterybadge_mp_airdrop_cer,airdrop_cer,30739,0,0,10|25|50,69364||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41608,cer_masterybadge_mp_auto_drone_cer,auto_drone_cer,30743,0,0,10|25|50,69365||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41609,cer_masterybadge_mp_chopper_door_gunner_cer,chopper_door_gunner_cer,30755,0,0,10|25|50,69366||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41611,cer_masterybadge_mp_counter_uav_cer,counter_uav_cer,30746,0,0,10|25|50,69368||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41612,cer_masterybadge_mp_directional_uav_cer,directional_uav_cer,30744,0,0,10|25|50,69369||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41613,cer_masterybadge_mp_gunship_cer,gunship_cer,47220,0,0,10|25|50,69370||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41614,cer_masterybadge_mp_hellstorm_missile_cer,hellstorm_missile_cer,30750,0,0,10|25|50,69371||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41617,cer_masterybadge_mp_missile_turret_cer,missile_turret_cer,30748,0,0,10|25|50,69374||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41619,cer_masterybadge_mp_napalm_strike_cer,napalm_strike_cer,30747,0,0,10|25|50,69376||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41621,cer_masterybadge_mp_radar_ping_cer,radar_ping_cer,30751,0,0,10|25|50,69378||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41622,cer_masterybadge_mp_rcxd_cer,rcxd_cer,30749,0,0,10|25|50,65159||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41624,cer_masterybadge_mp_sentry_gun_cer,sentry_gun_cer,30742,0,0,10|25|50,69379||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41626,cer_masterybadge_mp_tank_drone_cer,tank_drone_cer,45969,0,0,10|25|50,69381||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41627,cer_masterybadge_mp_toma_strike_cer,toma_strike_cer,30741,0,0,10|25|50,69382||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41628,cer_masterybadge_mp_uav_cer,uav_cer,30738,0,0,10|25|50,69383||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41629,cer_masterybadge_mp_valkyrie_rocket_cer,valkyrie_rocket_cer,30754,0,0,10|25|50,69384||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41526,cer_masterybadgecategory_mp_scorestreak,,,0,0,18,74044,10000,,10,41605|41606|41607|41608|41609|41611|41612|41613|41614|41617|41619|41621|41622|41624|41626|41627|41628|41629|49704|50804|51985,,,,,MP|LP_MP|HC,scorestreak,0
49704,cer_masterybadge_mp_hand_cannon_cer,hand_cannon_cer,87831,0,0,10|25|50,91274||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
50804,cer_masterybadge_mp_war_machine_launcher_cer,war_machine_launcher_cer,93356,0,0,10|25|50,92926||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51985,cer_masterybadge_mp_death_machine_gun_cer,death_machine_gun_cer,95187,0,0,10|25|50,96081||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41630,cer_masterybadge_mp_super_acoustic_amp_cer,super_acoustic_amp_cer,57486,0,0,25|50|100,69385||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41632,cer_masterybadge_mp_super_ammo_drop_cer,super_ammo_drop_cer,30689,0,0,25|50|100,69387||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41636,cer_masterybadge_mp_super_gas_trap_cer,super_gas_trap_cer,30692,0,0,25|50|100,69391||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41638,cer_masterybadge_mp_super_honeypot_cer,super_honeypot_cer,30691,0,0,25|50|100,69393||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41639,cer_masterybadge_mp_super_jammer_cer,super_jammer_cer,30695,0,0,25|50|100,69394||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41640,cer_masterybadge_mp_super_landmine_cer,super_landmine_cer,30690,0,0,25|50|100,60921||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41641,cer_masterybadge_mp_super_laststand_syringe_cer,super_laststand_syringe_cer,30696,0,0,25|50|100,69395||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41642,cer_masterybadge_mp_super_rallying_cry_cer,super_rallying_cry_cer,30693,0,0,25|50|100,69396||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41643,cer_masterybadge_mp_super_spykit_cer,super_spykit_cer,30694,0,0,25|50|100,69397||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41644,cer_masterybadge_mp_super_tac_insert_cer,super_tac_insert_cer,30688,0,0,25|50|100,69398||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41645,cer_masterybadge_mp_super_trophy_cer,super_trophy_cer,30687,0,0,25|50|100,69399||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41527,cer_masterybadgecategory_mp_super,,,0,0,11,74045,10000,,13,41630|41632|41636|41638|41639|41640|41641|41642|41643|41644|41645,,,,,MP|LP_MP|HC,super,0
41646,cer_masterybadge_mp_equip_adrenaline_cer,equip_adrenaline_cer,30585,0,0,25|50|100,69401||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41649,cer_masterybadge_mp_equip_concussion_cer,equip_concussion_cer,30583,0,0,25|50|100,69404||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41651,cer_masterybadge_mp_equip_decoy_cer,equip_decoy_cer,30586,0,0,25|50|100,69406||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41586,cer_masterybadge_mp_equip_flash_cer,equip_flash_cer,30582,0,0,25|50|100,60924||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41653,cer_masterybadge_mp_equip_proximity_alarm_cer,equip_proximity_alarm_cer,30594,0,0,25|50|100,69409||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41654,cer_masterybadge_mp_equip_shockstick_cer,equip_shockstick_cer,30588,0,0,25|50|100,69410||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41656,cer_masterybadge_mp_equip_smoke_cer,equip_smoke_cer,30584,0,0,25|50|100,69412||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41658,cer_masterybadge_mp_equip_spycam_cer,equip_spycam_cer,30592,0,0,25|50|100,69414||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41528,cer_masterybadgecategory_mp_tactical,,,0,0,8,74043,10000,,12,41646|41649|41651|41586|41653|41654|41656|41658,,,,,MP|LP_MP|HC,tactical,0
41463,cer_masterybadge_mp_t10_ar_p22_able18,t10_ar_p22_able18,35282,0,0,100|250|500,69415||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41319,cer_masterybadge_mp_t10_ar_p02_aking74,t10_ar_p02_aking74,17766,0,0,100|250|500,60915||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41469,cer_masterybadge_mp_t10_ar_p06_asvalor,t10_ar_p06_asvalor,17751,0,0,100|250|500,69417||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41475,cer_masterybadge_mp_t10_ar_p04_clove,t10_ar_p04_clove,17752,0,0,100|250|500,69419||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41321,cer_masterybadge_mp_t10_ar_p01_coslo723,t10_ar_p01_coslo723,17748,0,0,100|250|500,60912||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41485,cer_masterybadge_mp_t10_ar_p23_love85,t10_ar_p23_love85,35283,0,0,100|250|500,69421||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41501,cer_masterybadge_mp_t10_ar_p05_rmary2,t10_ar_p05_rmary2,26683,0,0,100|250|500,69423||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41317,cer_masterybadgecategory_mp_weapon_assault,,,0,0,7,74033,10000,,1,41463|41319|41469|41475|41321|41485|41501|49697|49930|51969|51975,,,,,MP|LP_MP|HC,weapon_assault,0
49697,cer_masterybadge_mp_t10_ar_p05_fable,t10_ar_p05_fable,70896,0,0,100|250|500,91204||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
49930,cer_masterybadge_mp_t10_ar_p34_tbaker,t10_ar_p34_tbaker,89391,0,0,100|250|500,92923||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51969,cer_masterybadge_mp_t10_ar_p45_kent,t10_ar_p45_kent,93062,0,0,100|250|500,95750||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51975,cer_masterybadge_mp_t10_ar_p47_gilroy,t10_ar_p47_gilroy,93063,0,0,100|250|500,96043||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41465,cer_masterybadge_mp_t10_dm_p02_aeasy,t10_dm_p02_aeasy,26684,0,0,100|250|500,69425||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41507,cer_masterybadge_mp_t10_dm_p03_sgeorge550,t10_dm_p03_sgeorge550,26685,0,0,100|250|500,69427||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41509,cer_masterybadge_mp_t10_dm_p01_sroger25,t10_dm_p01_sroger25,17746,0,0,100|250|500,69429||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41517,cer_masterybadge_mp_t10_dm_p09_svalor,t10_dm_p09_svalor,36378,0,0,100|250|500,69431||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41529,cer_masterybadgecategory_mp_weapon_dmr,,,0,0,4,74036,10000,,5,41465|41507|41509|41517|50672,,,,,MP|LP_MP|HC,weapon_dmr,0
50672,cer_masterybadge_mp_t10_dm_p05_falove,t10_dm_p05_falove,26686,0,0,100|250|500,92928||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41467,cer_masterybadge_mp_t10_lm_p01_aroger10,t10_lm_p01_aroger10,17762,0,0,100|250|500,69437||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41483,cer_masterybadge_mp_t10_lm_p07_ksugar58,t10_lm_p07_ksugar58,17756,0,0,100|250|500,69439||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41499,cer_masterybadge_mp_t10_lm_p02_puncle21,t10_lm_p02_puncle21,17745,0,0,100|250|500,69441||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41531,cer_masterybadgecategory_mp_weapon_lmg,,,0,0,3,74035,10000,,3,41467|41483|41499|50676,,,,,MP|LP_MP|HC,weapon_lmg,0
50676,cer_masterybadge_mp_t10_lm_p33_uxray,t10_lm_p33_uxray,89417,0,0,100|250|500,92927||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41471,cer_masterybadge_mp_t10_me_p16_bat,t10_me_p16_bat,54033,0,0,100|250|500,69443||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41481,cer_masterybadge_mp_t10_me_p15_knife,t10_me_p15_knife,17750,0,0,100|250|500,65852||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41532,cer_masterybadgecategory_mp_weapon_melee,,,0,0,2,74041,10000,,9,41471|41481|49695|50247|51062|51064|51066|51068|51070|51979,,,,,MP|LP_MP|HC,weapon_melee,0
49695,cer_masterybadge_mp_t10_me_p31_drill,t10_me_p31_drill,71684,0,0,100|250|500,91206||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
50247,cer_masterybadge_mp_t10_me_p30_cleaver,t10_me_p30_cleaver,71680,0,0,100|250|500,92113||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51062,cer_masterybadge_mp_t10_me_p40_bostaff,t10_me_p40_bostaff,89437,0,0,100|250|500,94311||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51064,cer_masterybadge_mp_t10_me_p37_katanas,t10_me_p37_katanas,89434,0,0,100|250|500,94310||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51066,cer_masterybadge_mp_t10_me_p39_nunchaku,t10_me_p39_nunchaku,89436,0,0,100|250|500,94305||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51068,cer_masterybadge_mp_t10_me_p38_sais,t10_me_p38_sais,89435,0,0,100|250|500,94307||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51070,cer_masterybadge_mp_t10_me_p36_skateboard,t10_me_p36_skateboard,89433,0,0,100|250|500,94309||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51979,cer_masterybadge_mp_t10_me_p48_keene,t10_me_p48_keene,93502,0,0,100|250|500,96037||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41473,cer_masterybadge_mp_t10_sm_p04_chuck9,t10_sm_p04_chuck9,36416,0,0,100|250|500,69457||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41479,cer_masterybadge_mp_t10_sm_p02_geasy9,t10_sm_p02_geasy9,17743,0,0,100|250|500,69459||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41497,cer_masterybadge_mp_t10_sm_p21_pparis90,t10_sm_p21_pparis90,36955,0,0,100|250|500,69461||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41503,cer_masterybadge_mp_t10_sm_p12_roger31,t10_sm_p12_roger31,17770,0,0,100|250|500,69463||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41505,cer_masterybadge_mp_t10_sm_p03_safox,t10_sm_p03_safox,17747,0,0,100|250|500,69465||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41511,cer_masterybadge_mp_t10_sm_p06_sroger3,t10_sm_p06_sroger3,17772,0,0,100|250|500,69467||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41535,cer_masterybadgecategory_mp_weapon_smg,,,0,0,6,74034,10000,,2,41473|41479|41497|41503|41505|41511|49701|50674,,,,,MP|LP_MP|HC,weapon_smg,0
49701,cer_masterybadge_mp_t10_sm_p28_saug,t10_sm_p28_saug,70974,0,0,100|250|500,91202||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
50674,cer_masterybadge_mp_t10_sm_p41_perth,t10_sm_p41_perth,89735,0,0,100|250|500,92929||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41477,cer_masterybadge_mp_t10_sn_p09_droger,t10_sn_p09_droger,17759,0,0,100|250|500,69469||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41487,cer_masterybadge_mp_t10_sn_p24_love96,t10_sn_p24_love96,37767,0,0,100|250|500,69471||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41519,cer_masterybadge_mp_t10_sn_p08_ultiger,t10_sn_p08_ultiger,17771,0,0,100|250|500,69473||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41536,cer_masterybadgecategory_mp_weapon_sniper,,,0,0,3,74038,10000,,4,41477|41487|41519|50245|51977,,,,,MP|LP_MP|HC,weapon_sniper,0
50245,cer_masterybadge_mp_t10_sn_p26_mary82,t10_sn_p26_mary82,71045,0,0,100|250|500,92117||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51977,cer_masterybadge_mp_t10_sn_p46_hugo,t10_sn_p46_hugo,93501,0,0,100|250|500,96039||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41489,cer_masterybadge_mp_t10_pi_p14_mable,t10_pi_p14_mable,17761,0,0,100|250|500,69445||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41495,cer_masterybadge_mp_t10_pi_p12_paris30,t10_pi_p12_paris30,17768,0,0,100|250|500,69447||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41513,cer_masterybadge_mp_t10_pi_p14_stiger,t10_pi_p14_stiger,17755,0,0,100|250|500,69449||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41523,cer_masterybadge_mp_t10_pi_p13_usugar9,t10_pi_p13_usugar9,17764,0,0,100|250|500,69451||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41533,cer_masterybadgecategory_mp_weapon_pistol,,,0,0,4,74039,10000,,7,41489|41495|41513|41523,,,,,MP|LP_MP|HC,weapon_pistol,0
41491,cer_masterybadge_mp_t10_sh_p10_moslo500,t10_sh_p10_moslo500,17744,0,0,100|250|500,69453||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41521,cer_masterybadge_mp_t10_sh_p25_uncle12,t10_sh_p25_uncle12,39146,0,0,100|250|500,69455||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41534,cer_masterybadgecategory_mp_weapon_shotgun,,,0,0,2,74037,10000,,6,41491|41521|50249,,,,,MP|LP_MP|HC,weapon_shotgun,0
50249,cer_masterybadge_mp_t10_sh_p27_jhavana,t10_sh_p27_jhavana,71073,0,0,100|250|500,92112||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41493,cer_masterybadge_mp_t10_la_p17_pable3,t10_la_p17_pable3,17757,0,0,100|250|500,69433||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41515,cer_masterybadge_mp_t10_la_p18_stisaac,t10_la_p18_stisaac,29303,0,0,100|250|500,69435||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41530,cer_masterybadgecategory_mp_weapon_projectile,,,0,0,2,74040,10000,,8,41493|41515|49699|51060|51981,,,,,MP|LP_MP|HC,weapon_projectile,0
49699,cer_masterybadge_mp_t10_sl_p29_goslo,t10_sl_p29_goslo,71271,0,0,100|250|500,91200||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51060,cer_masterybadge_mp_t10_sl_p35_blauncher,t10_sl_p35_blauncher,89776,0,0,100|250|500,94308||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
51981,cer_masterybadge_mp_t10_sl_p44_napa,t10_sl_p44_napa,93503,0,0,100|250|500,96044||,1000|2500|5000,,,,,,,,MP|LP_MP|HC,,0
41538,cer_masterybadgecategory_zm_scorestreak,,,0,0,7,74057,10000,,10,41610|41615|41616|41623|41625|45764|46098|49705|50805|51986,,,,,ZM,scorestreak,0
41610,cer_masterybadge_zm_chopper_door_gunner_cer,chopper_door_gunner_cer,30755,0,0,100|250|500,69367||,1000|2500|5000,,,,,,,,ZM,,0
41615,cer_masterybadge_zm_hellstorm_missile_cer,hellstorm_missile_cer,30750,0,0,100|250|500,69372||,1000|2500|5000,,,,,,,,ZM,,0
41616,cer_masterybadge_zm_mangler_cannon_cer,mangler_cannon_cer,54702,0,0,100|250|500,69373||,1000|2500|5000,,,,,,,,ZM,,0
41623,cer_masterybadge_zm_rcxd_cer,rcxd_cer,30749,0,0,100|250|500,65161||,1000|2500|5000,,,,,,,,ZM,,0
41625,cer_masterybadge_zm_sentry_gun_cer,sentry_gun_cer,30742,0,0,100|250|500,69380||,1000|2500|5000,,,,,,,,ZM,,0
45764,cer_masterybadge_zm_toma_strike_cer,toma_strike_cer,30741,0,0,100|250|500,80378||,1000|2500|5000,,,,,,,,ZM,,0
46098,cer_masterybadge_zm_zm_minj_cer,zm_minj_cer,81372,0,0,100|250|500,86515||,1000|2500|5000,,,,,,,,ZM,,0
49705,cer_masterybadge_zm_hand_cannon_cer,hand_cannon_cer,87831,0,0,100|250|500,91275||,1000|2500|5000,,,,,,,,ZM,,0
50805,cer_masterybadge_zm_war_machine_launcher_cer,war_machine_launcher_cer,93356,0,0,100|250|500,92930||,1000|2500|5000,,,,,,,,ZM,,0
51986,cer_masterybadge_zm_death_machine_gun_cer,death_machine_gun_cer,95187,0,0,100|250|500,96083||,1000|2500|5000,,,,,,,,ZM,,0
41553,cer_masterybadgecategory_zm_super,,,0,0,5,74058,10000,,13,41631|41633|41634|41635|41637|50324,,,,,ZM,super,0
41631,cer_masterybadge_zm_super_aether_shroud_cer,super_aether_shroud_cer,55411,0,0,100|250|500,69386||,1000|2500|5000,,,,,,,,ZM,,0
41633,cer_masterybadge_zm_super_dark_flare_cer,super_dark_flare_cer,55993,0,0,100|250|500,69388||,1000|2500|5000,,,,,,,,ZM,,0
41634,cer_masterybadge_zm_super_energy_mine_cer,super_energy_mine_cer,55414,0,0,100|250|500,69389||,1000|2500|5000,,,,,,,,ZM,,0
41635,cer_masterybadge_zm_super_frenzied_guard_cer,super_frenzied_guard_cer,55415,0,0,100|250|500,69390||,1000|2500|5000,,,,,,,,ZM,,0
41637,cer_masterybadge_zm_super_healing_aura_cer,super_healing_aura_cer,55412,0,0,100|250|500,69392||,1000|2500|5000,,,,,,,,ZM,,0
50324,cer_masterybadge_zm_super_tesla_storm_cer,super_tesla_storm_cer,55416,0,0,100|250|500,92314||,1000|2500|5000,,,,,,,,ZM,,0
41537,cer_masterybadgecategory_zm_lethal,,,0,0,8,74055,10000,,11,41591|41593|41595|41597|41599|41601|41602|48371,,,,,ZM,lethal,0
41591,cer_masterybadge_zm_equip_c4_cer,equip_c4_cer,30579,0,0,50|100|250,69350||,1000|2500|5000,,,,,,,,ZM,,0
41593,cer_masterybadge_zm_equip_combataxe_cer,equip_combataxe_cer,30593,0,0,50|100|250,69352||,1000|2500|5000,,,,,,,,ZM,,0
41595,cer_masterybadge_zm_equip_frag_cer,equip_frag_cer,30578,0,0,50|100|250,60920||,1000|2500|5000,,,,,,,,ZM,,0
41597,cer_masterybadge_zm_equip_ied_cer,equip_ied_cer,30590,0,0,50|100|250,69354||,1000|2500|5000,,,,,,,,ZM,,0
41599,cer_masterybadge_zm_equip_impact_grenade_cer,equip_impact_grenade_cer,30591,0,0,50|100|250,69356||,1000|2500|5000,,,,,,,,ZM,,0
41601,cer_masterybadge_zm_equip_molotov_cer,equip_molotov_cer,30580,0,0,50|100|250,69358||,1000|2500|5000,,,,,,,,ZM,,0
41602,cer_masterybadge_zm_equip_semtex_cer,equip_semtex_cer,30581,0,0,50|100|250,69360||,1000|2500|5000,,,,,,,,ZM,,0
48371,cer_masterybadge_zm_equip_thermobaric_grenade_cer,equip_thermobaric_grenade_cer,80407,0,0,50|100|250,69362||,1000|2500|5000,,,,,,,,ZM,,0
41539,cer_masterybadgecategory_zm_tactical,,,0,0,7,74056,10000,,12,41647|41648|41650|41585|41652|41655|41657,,,,,ZM,tactical,0
41647,cer_masterybadge_zm_equip_adrenaline_cer,equip_adrenaline_cer,30585,0,0,50|100|250,69402||,1000|2500|5000,,,,,,,,ZM,,0
41648,cer_masterybadge_zm_equip_blackhole_bomb_cer,equip_blackhole_bomb_cer,58720,0,0,50|100|250,69403||,1000|2500|5000,,,,,,,,ZM,,0
41650,cer_masterybadge_zm_equip_concussion_cer,equip_concussion_cer,30583,0,0,50|100|250,69405||,1000|2500|5000,,,,,,,,ZM,,0
41585,cer_masterybadge_zm_equip_decoy_cer,equip_decoy_cer,30586,0,0,50|100|250,69407||,1000|2500|5000,,,,,,,,ZM,,0
41652,cer_masterybadge_zm_equip_monkey_bomb_cer,equip_monkey_bomb_cer,48651,0,0,50|100|250,69408||,1000|2500|5000,,,,,,,,ZM,,0
41655,cer_masterybadge_zm_equip_shockstick_cer,equip_shockstick_cer,30588,0,0,50|100|250,69411||,1000|2500|5000,,,,,,,,ZM,,0
41657,cer_masterybadge_zm_equip_smoke_cer,equip_smoke_cer,30584,0,0,50|100|250,69413||,1000|2500|5000,,,,,,,,ZM,,0
41464,cer_masterybadge_zm_t10_ar_p22_able18,t10_ar_p22_able18,35282,0,0,500|1500|3000,69416||,1000|2500|5000,,,,,,,,ZM,,0
41320,cer_masterybadge_zm_t10_ar_p02_aking74,t10_ar_p02_aking74,17766,0,0,500|1500|3000,60917||,1000|2500|5000,,,,,,,,ZM,,0
41470,cer_masterybadge_zm_t10_ar_p06_asvalor,t10_ar_p06_asvalor,17751,0,0,500|1500|3000,69418||,1000|2500|5000,,,,,,,,ZM,,0
41476,cer_masterybadge_zm_t10_ar_p04_clove,t10_ar_p04_clove,17752,0,0,500|1500|3000,69420||,1000|2500|5000,,,,,,,,ZM,,0
41322,cer_masterybadge_zm_t10_ar_p01_coslo723,t10_ar_p01_coslo723,17748,0,0,500|1500|3000,60914||,1000|2500|5000,,,,,,,,ZM,,0
41486,cer_masterybadge_zm_t10_ar_p23_love85,t10_ar_p23_love85,35283,0,0,500|1500|3000,69422||,1000|2500|5000,,,,,,,,ZM,,0
41502,cer_masterybadge_zm_t10_ar_p05_rmary2,t10_ar_p05_rmary2,26683,0,0,500|1500|3000,69424||,1000|2500|5000,,,,,,,,ZM,,0
41318,cer_masterybadgecategory_zm_weapon_assault,,,0,0,7,74046,10000,,1,41464|41320|41470|41476|41322|41486|41502|49698|49931|51970|51976,,,,,ZM,weapon_assault,0
49698,cer_masterybadge_zm_t10_ar_p05_fable,t10_ar_p05_fable,70896,0,0,500|1500|3000,91205||,1000|2500|5000,,,,,,,,ZM,,0
49931,cer_masterybadge_zm_t10_ar_p34_tbaker,t10_ar_p34_tbaker,89391,0,0,500|1500|3000,92932||,1000|2500|5000,,,,,,,,ZM,,0
51970,cer_masterybadge_zm_t10_ar_p45_kent,t10_ar_p45_kent,93062,0,0,500|1500|3000,95749||,1000|2500|5000,,,,,,,,ZM,,0
51976,cer_masterybadge_zm_t10_ar_p47_gilroy,t10_ar_p47_gilroy,93063,0,0,500|1500|3000,96041||,1000|2500|5000,,,,,,,,ZM,,0
