0,weapon,none,0,,,0,0,0,
650,attachment,bar_lm_long_p04,32,iw9,,0,3A17FE7451473A42,0,
652,attachment,bolt_hvy_p20,33,iw9,,0,5D9A5F816606BA83,0,
656,attachment,bar_pi_long_p27,34,iw9,,0,3259976C6A0BB621,0,
659,attachment,thermal01,35,iw9,,0,1B191DC9816A06E5,0,
662,attachment,silencer06_dm,36,iw9,,0,41010724F32BDEA8,0,
666,attachment,iw9_rec_scharlie,38,iw9,,0,7B000D868891CE45,0,
675,attachment,mag_sm_p01,40,iw9,,0,59267DFBCE2E6B3,0,
676,attachment,laserbox_ads02,41,iw9,,0,5E9674A662A12774,0,
681,attachment,ub_gl_akilo,42,iw9,,0,CA42F7455FBF15B,0,
683,attachment,bar_ar_short_p02,43,iw9,,0,3E3EB7EF984DECF6,0,
685,attachment,barsil_sm_p07,44,iw9,,0,4CAAB0A8304993D7,0,
686,attachment,trigger_hair_p24,45,iw9,,0,51BD37BEE60841A3,0,
689,attachment,bartube_sh_short_p13,46,iw9,,0,598A8A90AC157EC2,0,
690,attachment,bar_ar_hvylong_p04,47,iw9,,0,1B5C971A5083C15,0,
693,attachment,ammo_9p_ap,48,iw9,LAUNCH,0,3E4C9C556BDD969,0,
696,attachment,stockr_dm_p18,49,iw9,,0,31F1B355687CF219,0,
697,attachment,ironsdefault_mpapa7,50,iw9,,0,2F56EE4177F5405C,0,
701,attachment,tube_7_12g_mike1014,51,iw9,,0,13D0721184DF387B,0,
707,attachment,pgrip_aim_p05,53,iw9,LAUNCH,0,34B85925553D233,0,
708,attachment,pgrip_ass_p26,54,iw9,LAUNCH,0,C8F78C27B71580C,0,
710,attachment,ammo_545s_hv,55,iw9,BETA,0,33289DADAAE8DC52,0,
714,attachment,belt_lm_large_p02,56,iw9,,0,487CD1745EFB8B79,0,
719,attachment,mag_ar_light_p04,57,iw9,,0,31B04B248582C348,0,
720,attachment,stock_sm_heavy_p07,58,iw9,,0,3E8A58F20C14B326,0,
724,attachment,pgrip_ass_p15,59,iw9,LAUNCH,0,C8C0BC27B6E68FE,0,
729,attachment,pgrip_tac_p21,60,iw9,LAUNCH,0,138EBBE3F0102284,0,
734,attachment,tube_2_12g_charlie725,61,iw9,,0,30F18E6466A6504A,0,
737,attachment,belt_lm_large_p17,62,iw9,,0,487964745EF89C6B,0,
740,attachment,breacher_charlie725_01,64,iw9,,0,11570080E1DBB3FA,0,
741,attachment,mag_ar_large_p02,65,iw9,,0,649B86C997165585,0,
743,attachment,bgrip_hvy_p03,66,iw9,LAUNCH,0,1F4085FFEFDADD4B,0,
747,attachment,ammo_500sw_hp,68,iw9,LAUNCH,0,6A92B392E795F684,0,
751,attachment,silencer02_sh,69,iw9,,0,6F694A4983A2BF14,0,
752,attachment,stock_dm_light_p18,70,iw9,,0,7F59F31322F79202,0,
754,attachment,iw9_ironsdefault_mike4,71,iw9,,0,105A80C6592D65EE,0,
763,attachment,silencer_decho,73,iw9,,0,4D77239CD748306,0,
765,attachment,bar_sn_long_p22,74,iw9,,0,538C1E14CAF18A14,0,
766,attachment,mag_ar_large_p01,75,iw9,,0,649B83C99716506C,0,
769,attachment,bar_sm_heavy_p07,76,iw9,,0,34F40C781C04790B,0,
771,attachment,bar_ar_p01,77,iw9,,0,8146ACBD586021A,0,
772,attachment,stockno_sm_p01,78,iw9,,0,78DA72704600B6D5,0,
773,attachment,mag_sm_small_p08,79,iw9,,0,1BF77E197FF3ABF0,0,
775,attachment,stock_sn_p01,80,iw9,,0,47B74762878C12F1,0,
776,attachment,mag_ar_small_p01,81,iw9,,0,6061BEBA5B0F0744,0,
789,attachment,mag_br_p18,83,iw9,,0,44FDA7A3C48F3DB5,0,
798,attachment,flash_sn_01,84,iw9,LAUNCH,0,6B9E5ACAD6ADA0B1,0,
799,attachment,mag_sm_p03,85,iw9,,0,59269DFBCE2EA19,0,
803,attachment,drum_br_p05,86,iw9,,0,751C72C02284928,0,
807,attachment,drum_lm_p03,87,iw9,,0,4160C4E38064DC61,0,
811,attachment,bar_sh_long_p14,88,iw9,,0,2E6AD64A788C6F1F,0,
813,attachment,comp_sn_01,89,iw9,,0,7EB9E7B038FD01C2,0,
822,attachment,bar_sn_hvylong_p22,90,iw9,,0,4BDAD5427670BA6B,0,
825,attachment,shscope02,91,iw9,,0,3DE4797FF756BB6,0,
830,attachment,bar_lm_p16,92,iw9,,0,60096FE5F25E8846,0,
832,attachment,stock_sm_heavy_p09,93,iw9,,0,3E8A62F20C14C424,0,
834,attachment,bar_ar_p08,94,iw9,,0,81463CBD585F635,0,
835,attachment,bar_dm_light_p38,95,iw9,,0,7891E1EC1663909D,0,
836,attachment,ub_glmini01_xmags,96,iw9,,0,75C611AF6AFEF825,0,
837,attachment,mag_pi_xlarge_p27,97,iw9,,0,692B2794F40F06A6,0,
838,attachment,rec_aviktor,98,iw9,,0,3B96C85625D405BC,0,
841,attachment,ammo_9p_op,99,iw9,LAUNCH,0,413DDC556E56C27,0,
842,attachment,ammo_45acp_notracer,100,iw9,LAUNCH,0,5B83D99A1DE8B0F6,0,
843,attachment,grip_angled14,101,iw9,LAUNCH,0,156922B3304A5248,0,
845,attachment,barsil_dm_p19,102,iw9,,0,48DAE56C2B52227B,0,
847,attachment,bar_dm_light_p20,103,iw9,,0,788E53EC1660697C,0,
849,attachment,pgrip_ass_p04,104,iw9,LAUNCH,0,C8906C27B6C2AA8,0,
850,attachment,pgrip_p06,105,iw9,LAUNCH,0,BBB8F2F576E0498,0,
855,attachment,ironsdefault_mpapax,106,iw9,,0,2F57354177F5B901,0,
856,attachment,holorange01,107,iw9,,0,5034CF8FB4A11EE3,0,
857,attachment,ub_gl01_xmags,108,iw9,,0,71E6C39B7A42B76,0,
863,attachment,rec_apapa,109,iw9,,0,5BE8162C0FE7CCB,0,
864,attachment,ammo_762s,110,iw9,LAUNCH,0,5426AA1A95649E54,0,
867,attachment,comp_decho_01,111,iw9,,0,5FC8F0AEEAED4D18,0,
869,attachment,ammo_9m_hp,112,iw9,LAUNCH,0,45CA91589B9CFF05,0,
871,attachment,stockr_dm_heavy_p20,113,iw9,,0,4811B73A1CB1103A,0,
873,attachment,stock_sm_p01,115,iw9,,0,36B2D370CCAD0C54,0,
875,attachment,bargrip_ar_long_p03,116,iw9,LAUNCH,0,32F80ED8901667F,0,
877,attachment,belt_lm_p02,117,iw9,,0,137329659F064A75,0,
878,attachment,rec_mpapa7,118,iw9,,0,43015D258D55C848,0,
879,attachment,mag_br_large_p01,119,iw9,,0,1BC99DDCFCE5A897,0,
880,attachment,belt_lm_large_p16,120,iw9,,0,487963745EF89AB8,0,
882,attachment,bar_sm_heavy_p24,121,iw9,,0,34ED89781BFF2EC4,0,
886,attachment,mag_ar_xlarge_p06,122,iw9,,0,6D1743CF6247491F,0,
889,attachment,ironsdefault_rkilo,124,iw9,,0,73832CFCBEBEC423,0,
893,attachment,mag_sn_p20,126,iw9,,0,6593D30B05E9624F,0,
899,attachment,pgrip_ass_p03,127,iw9,LAUNCH,0,C890DC27B6C368D,0,
903,attachment,stock_sn_heavy_p22,128,iw9,,0,4C9DBB405A0B2BCA,0,
904,attachment,rec_gromeo,129,iw9,,0,73ACD36AAD9A3761,0,
907,attachment,silencer07_ar,130,iw9,,0,17BEEE303DA0D1F9,0,
911,attachment,barsil_sm_long_p10,131,iw9,,0,195793B80C258432,0,
913,attachment,mod_infil_alpha50,132,iw9,,0,45962BDA744D8866,0,
915,attachment,ironsdefault_scromeo,133,iw9,,0,46461DA45A575CD0,0,
921,attachment,bipod_ahotel,134,iw9,,0,689810084B677535,0,
923,attachment,flash_sh_01,135,iw9,LAUNCH,0,64775E95D40C0517,0,
924,attachment,dynamic_null_dblmg,136,iw9,,0,6BEC9C856530649D,0,
926,attachment,ammo_9s,137,iw9,LAUNCH,0,729B55BB41D5DBA2,0,
928,attachment,rec_mromeo,138,iw9,,0,7CC9135D09282D6B,0,
929,attachment,bar_lm_long_p01,139,iw9,,0,3A17FB7451473529,0,
932,attachment,mag_ar_large_p08,140,iw9,,0,649B8CC997165FB7,0,
938,attachment,stock_ar_tactical_p02,141,iw9,,0,48A9570B68B9FE04,0,
944,attachment,arscope_nvg01,142,iw9,,0,1759321594021FAD,0,
946,attachment,bar_sm_p24,144,iw9,,0,3C939ECFFC61C84,0,
947,attachment,mag_ar_p06,145,iw9,,0,74ABCB5418915E7D,0,
948,attachment,bar_dm_p19,146,iw9,,0,79E5BA5AF0AE032F,0,
949,attachment,bar_sm_p02,147,iw9,,0,3CFBFECFFCB6BE4,0,
951,attachment,bar_lm_short_p01,148,iw9,,0,719098D6F0B2C5FB,0,
957,attachment,ironsdefault_decho,149,iw9,,0,7DFDDB2D6A461DA1,0,
958,attachment,pgrip_ass_p24,150,iw9,LAUNCH,0,C8F7AC27B715B72,0,
959,attachment,pgrip_ar_ass_p02,151,iw9,LAUNCH,0,5E44564AE265DD52,0,
972,attachment,grip_angled09,154,iw9,LAUNCH,0,156CA3B3304D6352,0,
973,attachment,dmscope02,155,iw9,,0,72CBB0733FC82F56,0,
975,attachment,ammo_50b_intercept,156,iw9,LAUNCH,0,52869ED21E68F062,0,
978,attachment,ammo_12g_he,157,iw9,LAUNCH,0,14E013231E27E7DC,0,
981,attachment,firerate_adverse_p15,158,iw9,,0,1558ED4937490311,0,
984,attachment,guard_light_p12,159,iw9,,0,71EF85B2E991A5EF,0,
990,attachment,bar_pi_p27,160,iw9,,0,7CFDD39A729552FE,0,
994,attachment,ammo_50b_db,162,iw9,LAUNCH,0,10417108B79BAA56,0,
997,attachment,laserpstl_ads02,163,iw9,,0,4FFC9493A4F7116C,0,
1001,attachment,mag_sm_large_p03,164,iw9,,0,4F675C2549364229,0,
1004,attachment,ammo_762n_db,165,iw9,LAUNCH,0,3186C45D58AE03E6,0,
1007,attachment,stock_ar_heavy_p06,166,iw9,,0,47E79F3A147B6CDA,0,
1009,attachment,mag_sm_p08,167,iw9,,0,5926EDFBCE2F298,0,
1012,attachment,snscope01,168,iw9,,0,5D11D95AE4614CAD,0,
1013,attachment,stock_dm_p38,169,iw9,,0,37F6A23F6427CC7B,0,
1017,attachment,mag_ar_small_p02,170,iw9,,0,6061C1BA5B0F0C5D,0,
1019,attachment,arscope_vz01,171,iw9,,0,711216CA82984E2A,0,
1020,attachment,mag_ar_hvylarge_p08,172,iw9,,0,62928DC417527642,0,
1021,attachment,gripside_med_p17,173,iw9,LAUNCH,0,33C2D42665F96BE2,0,
1022,attachment,ammo_65cm,174,iw9,LAUNCH,0,3998B111B16E9423,0,
1023,attachment,iw9_ironsdefault_augolf,175,iw9,,0,3C754173995E386A,0,
1024,attachment,iw9_akimbo_decho,176,iw9,,0,691DC90C510F0488,0,
1042,attachment,bartube_sh_short_p12,178,iw9,,0,598A8B90AC158075,0,
1044,attachment,reflex07,179,iw9,,0,118E8863F29ECF4C,0,
1052,attachment,ammo_5x28_hp,180,iw9,LAUNCH,0,F8BD91A955A755A,0,
1057,attachment,snscope_drop01,181,iw9,,0,2A641C1C226E79B9,0,
1058,attachment,bar_sn_p23,182,iw9,,0,756EBCD02A08C4E8,0,
1060,attachment,laserbox_ads05,183,iw9,,0,5E9673A662A125C1,0,
1061,attachment,bar_sn_p22,184,iw9,,0,756EBDD02A08C69B,0,
1062,attachment,pgrip_ass_p02,185,iw9,LAUNCH,0,C890CC27B6C34DA,0,
1063,attachment,silencer05_ar,186,iw9,,0,3FBB361FCC150BAF,0,
1064,attachment,mag_ar_large_p03,187,iw9,,0,649B85C9971653D2,0,
1069,attachment,ammo_45acp_fr,188,iw9,LAUNCH,0,7A4B733133E63944,0,
1071,attachment,stockp_sm_heavy_p24,189,iw9,,0,46ABD7193499FE73,0,
1073,attachment,ironsdefault_romeo18_pdw,190,iw9,,0,1717CC7D808F3175,0,
1076,attachment,comp_sm_01,191,iw9,,0,2D22E7C845F1AB95,0,
1081,attachment,mag_ar_heavy_p08,193,iw9,,0,7809D268DE202B63,0,
1083,attachment,ammo_500sw,195,iw9,LAUNCH,0,38A4034F3FCBD92B,0,
1090,attachment,rec_kilo53,196,iw9,,0,78E24C55726BEF95,0,
1097,attachment,mag_sn_p18,197,iw9,,0,6589590B05E03E7C,0,
1098,attachment,pgrip_dm_aim_p02,198,iw9,LAUNCH,0,7ED532027CB4E56E,0,
1103,attachment,comp_sh_01,200,iw9,LAUNCH,0,657A3E18D42CB3C,0,
1105,attachment,ammo_blk_fr,201,iw9,LAUNCH,0,5D808C2813B07FCA,0,
1106,attachment,comp_sh_02,202,iw9,,0,657A6E18D42D055,0,
1108,attachment,ub_sh01,203,iw9,,0,7F11647B4B966D7D,0,
1115,attachment,stock_sm_light_p10,205,iw9,,0,4F6D2A184DD4A5E9,0,
1118,attachment,guard_tactical_p14,206,iw9,,0,6ECE2ACCE710EDC2,0,
1120,attachment,wire_lgt_p38,207,iw9,,0,489636FC50AC5D3E,0,
1122,attachment,silencer02_ar,208,iw9,,0,6F3A3C49837B3688,0,
1123,attachment,comb_ammo_p12,209,iw9,LAUNCH,0,315650796079EE61,0,
1126,attachment,ammo_762n_op,210,iw9,LAUNCH,0,31ACD45D58CEEE53,0,
1127,attachment,laserhip_dim_p26,211,iw9,,0,4F87A5C44E57A895,0,
1128,attachment,bartube_sh_heavy_p13,212,iw9,,0,13DBAA95AF8F6C6F,0,
1130,attachment,stockr_dm_p19,213,iw9,,0,31F1B255687CF066,0,
1132,attachment,bar_lm_short_p15,214,iw9,,0,719420D6F0B5E2EA,0,
1136,attachment,stock_lm_heavy_p17,217,iw9,,0,54136D87B17409BC,0,
1138,attachment,grip_vert05,218,iw9,LAUNCH,0,4CC5D0F48D04D564,0,
1144,attachment,comb_ergo_p07,220,iw9,,0,4F3F41C7A223D770,0,
1145,attachment,mag_sm_p04,221,iw9,,0,5926ADFBCE2EBCC,0,
1146,attachment,ironsdefault_mike1014,222,iw9,,0,64754AAC9C18A78A,0,
1148,attachment,trigger_light_p25,224,iw9,,0,7365437D8A5E7F9C,0,
1150,attachment,thermal02,225,iw9,,0,1B191AC9816A01CC,0,
1152,attachment,selectsemi_akilo,226,iw9,,0,1AE1F785A5C81694,0,
1154,attachment,ammo_4x30_op,227,iw9,LAUNCH,0,177A7741006459B5,0,
1155,attachment,ironsdefault_fecho,228,iw9,,0,37C6D355535E5D47,0,
1158,attachment,shscope01,229,iw9,,0,3DE4697FF756A03,0,
1161,attachment,mag_pi_large_p24,230,iw9,,0,27AB27554C0A01F5,0,
1162,attachment,fourx05,231,iw9,,0,3E9C174F00ADEB8A,0,
1166,attachment,ammo_65c_op,233,iw9,LAUNCH,0,6856C507F8FAB7D6,0,
1172,attachment,comp_br_02,234,iw9,,0,EF39131EBA934FC,0,
1174,attachment,pgrip_dm_tac_p02,235,iw9,LAUNCH,0,533CBFB25BB86B2B,0,
1177,attachment,flash_ar_02,237,iw9,,0,19F6E80772C84DEA,0,
1178,attachment,mag_sn_small_p21,238,iw9,,0,10C623C3071C99C8,0,
1186,attachment,rec_juliet,239,iw9,,0,5738FC584311562B,0,
1199,attachment,mag_ar_lgtsmall_p04,241,iw9,,0,58B0FAD44EB0AA0,0,
1200,attachment,iw9_selectsemi,242,iw9,,0,61B8160FB6901C01,0,
1202,attachment,comp_sm_02,243,iw9,,0,2D22E4C845F1A67C,0,
1203,attachment,holo02,244,iw9,,0,6B7A18B93B587A39,0,
1204,attachment,comp_dm_01,245,iw9,,0,59F592A999569E8,0,
1205,attachment,dmscope_vz01,246,iw9,,0,49FF6958C2C3B766,0,
1211,attachment,bar_lm_p04,247,iw9,,0,600CF3E5F2619E69,0,
1213,attachment,bar_sm_lgtshort_p04,248,iw9,,0,9128CF0512F62CE,0,
1217,attachment,belt_lm_p15,249,iw9,,0,136FA6659F033605,0,
1218,attachment,guard_p14,250,iw9,,0,512AFE244768478E,0,
1219,attachment,ub_gl01,251,iw9,,0,21ED401B0369C89D,0,
1221,attachment,pgrip_aim_p01,252,iw9,LAUNCH,0,34B89925553D8FF,0,
1226,attachment,grip_vertshort06,253,iw9,LAUNCH,0,62EAD5A83CFB1E4D,0,
1227,attachment,flash_sn_02,254,iw9,,0,6B9E57CAD6AD9B98,0,
1229,attachment,iw9_ironsdefault_mcharlie,255,iw9,,0,57B9BB19623CAF23,0,
1231,attachment,barsil_dm_p20,256,iw9,,0,48E4EE6C2B5A864B,0,
1238,attachment,laserbox_hip03,258,iw9,,0,7126F425ED1CFA90,0,
1243,attachment,bar_sn_heavy_p22,259,iw9,,0,55447FD32F4F3F1B,0,
1245,attachment,bar_sh_heavy_p12,261,iw9,,0,D1FE8E86FEE8A46,0,
1246,attachment,ammo_4x30_fr,262,iw9,LAUNCH,0,175B83410049BD8A,0,
1261,attachment,mag_br_large_p02,263,iw9,,0,1BC99EDCFCE5AA4A,0,
1265,attachment,arscope_vz02,264,iw9,,0,711215CA82984C77,0,
1266,attachment,lasercyl_hip02,265,iw9,,0,3242D5AB8B1E76DE,0,
1268,attachment,gripside_large_p17,266,iw9,LAUNCH,0,6F974EB299ED111F,0,
1270,attachment,ammo_500sw_fr,267,iw9,LAUNCH,0,6AA6B592E7A6A2F4,0,
1275,attachment,bar_pi_xshort_p26,268,iw9,,0,73C7D5CD580AB3FA,0,
1285,attachment,stock_sn_assault_p23,270,iw9,,0,4ABDFEC8ED1A7491,0,
1288,attachment,barsil_lm_p03,271,iw9,,0,2611C34F9D0DE208,0,
1292,attachment,mag_sn_p02,272,iw9,,0,658CE50B05E36237,0,
1297,attachment,fourx03,273,iw9,,0,3E9C114F00ADE158,0,
1299,attachment,stock_lm_lgttactical_p15,274,iw9,,0,4701AB3431F43427,0,
1301,attachment,bar_sm_hvylong_p07,275,iw9,,0,3AD53243233B6AF,0,
1302,attachment,grip_angled03,276,iw9,LAUNCH,0,156CA9B3304D6D84,0,
1304,attachment,ironsdefault_kilo53,277,iw9,,0,5EFC2A3EA7C0ADA1,0,
1305,attachment,breacher_sh_01,278,iw9,,0,3C48C352E9DB42F5,0,
1306,attachment,bar_ar_lgtshort_p01,279,iw9,,0,572568E7F8D92C98,0,
1308,attachment,comb_p06,280,iw9,,0,5DF10FE064F07E0B,0,
1309,attachment,flash_ar_04,281,iw9,,0,19F6E20772C843B8,0,
1310,attachment,fourx06,282,iw9,,0,3E9C164F00ADE9D7,0,
1313,attachment,comp_ar_05,283,iw9,,0,3C35C0C55C1B10C4,0,
1314,attachment,stockno_pi_p25,284,iw9,,0,5823221265E2ED10,0,
1315,attachment,bar_lm_heavy_p03,285,iw9,,0,735E73E47A47BF34,0,
1321,attachment,bar_lm_hvy_p16,287,iw9,,0,5B56E973C6A909EC,0,
1324,attachment,stock_sn_light_p05,288,iw9,,0,5BA6C7250872E28A,0,
1325,attachment,dynamic_null_gromeo,289,iw9,,0,3529F85FC9698654,0,
1329,attachment,hybridrange01,290,iw9,,0,66A0591821EB691D,0,
1338,attachment,rec_rpapa7,293,iw9,,0,26802462707CC71B,0,
1342,attachment,pgrip_ass_p16,296,iw9,LAUNCH,0,C8C0AC27B6E674B,0,
1346,attachment,flash_sm_01,298,iw9,LAUNCH,0,3DAC1AAF1B5D24BE,0,
1348,attachment,hybrid05,299,iw9,,0,164D827D1F9C61D6,0,
1357,attachment,stock_lm_light_p16,301,iw9,,0,5785D61832A60110,0,
1361,attachment,comb_tactical_p19,303,iw9,,0,737CF733536D30F3,0,
1362,attachment,pgrip_tac_p24,304,iw9,LAUNCH,0,138EB8E3F0101D6B,0,
1363,attachment,laserir_box,305,iw9,,0,E617D4823915887,0,
1364,attachment,ammo_9s_op,306,iw9,LAUNCH,0,5746D3D09E5833B8,0,
1369,attachment,silencer04_sh,307,iw9,,0,68502614810D1CDE,0,
1374,attachment,comb_hvy_p20,309,iw9,,0,7488EFF6E97BFA15,0,
1376,attachment,comp_br_03,310,iw9,,0,EF39231EBA936AF,0,
1377,attachment,bar_ar_light_p02,311,iw9,,0,582CDD8CCBEC1618,0,
1378,attachment,silencer02_sn,312,iw9,,0,6F69484983A2BBAE,0,
1382,attachment,drum_lm_large_p04,313,iw9,,0,4458A938762A8A64,0,
1383,attachment,iw9_lnchrscope_mike32,314,iw9,,0,5E9DD17F59AA4C7A,0,
1385,attachment,mag_ar_p04,315,iw9,,0,74ABC95418915B17,0,
1389,attachment,bolt_lgt_p21,317,iw9,,0,6BA403D613406B7A,0,
1390,attachment,lever_light_p19,318,iw9,,0,4744DB4BC5D11BA3,0,
1392,attachment,trigger_light_p24,319,iw9,,0,7365447D8A5E814F,0,
1394,attachment,stock_sh_heavy_p13,320,iw9,,0,3E21433BE4AF3E48,0,
1401,attachment,iw9_ironsdefault_charlie725,321,iw9,,0,357F3B0DDC1F0FA,0,
1404,attachment,comb_ammo_p19,322,iw9,LAUNCH,0,315645796079DBB0,0,
1409,attachment,bartube_sh_hvylong_p13,324,iw9,,0,1E3532ED41F940F,0,
1411,attachment,trigger_p24,325,iw9,,0,21409991BE98CA80,0,
1415,attachment,ammo_762n_tr,326,iw9,LAUNCH,0,31BDD45D58DD6186,0,
1416,attachment,pgrip_aim_p18,327,iw9,LAUNCH,0,34F16925556FE6D,0,
1417,attachment,wounded_sniper,328,iw9,,0,17848E6242E872A7,0,
1418,attachment,silencer03_ar,329,iw9,,0,707BF64EAA8DF995,0,
1423,attachment,stock_ar_assault_p02,330,iw9,,0,3A3AC334D1E77E3E,0,
1425,attachment,snscope_vz01,331,iw9,,0,5F56732D0E8DB358,0,
1428,attachment,comp_sm_04,332,iw9,,0,2D22E2C845F1A316,0,
1430,attachment,pgrip_br_snp_p02,334,iw9,LAUNCH,0,61A3385149D00CE7,0,
1431,attachment,silencer03_sn,335,iw9,,0,70ABEA4EAAB708F3,0,
1435,attachment,stock_sm_assault_p07,336,iw9,,0,267FE5F6D076FE32,0,
1436,attachment,guard_heavy_p14,337,iw9,,0,C5FE43969DB4EAE,0,
1438,attachment,bar_sn_long_p05,338,iw9,,0,53859914CAEC3C67,0,
1440,attachment,mag_pi_large_p25,339,iw9,,0,27AB26554C0A0042,0,
1448,attachment,bar_ar_short2_p06,341,iw9,,0,40A8A6A29C799B2A,0,
1449,attachment,rec_kgolf,342,iw9,,0,35723EBC2C862925,0,
1453,attachment,bartube_sh_p13,343,iw9,,0,142B721F269F079F,0,
1455,attachment,grip_vertshort04,344,iw9,LAUNCH,0,62EAD3A83CFB1AE7,0,
1457,attachment,comp_br_04,345,iw9,,0,EF38F31EBA93196,0,
1458,attachment,rec_pgolf1,346,iw9,,0,1FDBA8C8F18AE6C3,0,
1461,attachment,bipod_rkilo,347,iw9,,0,53AD5B214C59BD9D,0,
1462,attachment,rec_sa700,348,iw9,,0,47DA3C6E7F60B25,0,
1464,attachment,pgrip_br_p02,349,iw9,LAUNCH,0,448D81B64F2509F7,0,
1466,attachment,breacher_pi_01,350,iw9,,0,59FC286DE2791B41,0,
1469,attachment,ammo_762s_fr,351,iw9,LAUNCH,0,9F9F3E675EE545,0,
1473,attachment,ammo_338nm_op,353,iw9,LAUNCH,0,5BDF77AB3F73D5ED,0,
1479,attachment,bar_dm_tac_p38,355,iw9,,0,35F8B459B29847FD,0,
1480,attachment,mag_ar_lgtxlarge_p04,356,iw9,,0,2665127674660868,0,
1482,attachment,stock_sn_p05,357,iw9,,0,47B74B62878C19BD,0,
1484,attachment,iw9_lnchrscope_kgolf,358,iw9,,0,716710FD4F5E6F2E,0,
1485,attachment,bar_sm_lgtshort_p08,359,iw9,,0,91288F0512F5C02,0,
1486,attachment,pgrip_p04,360,iw9,LAUNCH,0,BBB912F576E07FE,0,
1490,attachment,ironsdefault_golf17_stockp,361,iw9,,0,870D0116731D76F,0,
1494,attachment,bartube_sh_p12,362,iw9,,0,142B711F269F05EC,0,
1501,attachment,ammo_4x30_tr,364,iw9,LAUNCH,0,172B6B4100207100,0,
1507,attachment,silencer07_br,367,iw9,,0,17B4FC303D98953E,0,
1510,attachment,comp_sm_05,368,iw9,,0,2D22E3C845F1A4C9,0,
1513,attachment,rec_mike24,369,iw9,,0,4C819FB2A48546DC,0,
1516,attachment,ammo_9s_fr,371,iw9,LAUNCH,0,572EC7D09E438D73,0,
1518,attachment,silencer06_sm,372,iw9,,0,40B2E724F2E986F7,0,
1519,attachment,bar_sm_lngheavy_p24,373,iw9,,0,6055137ED119B7C9,0,
1522,attachment,rec_akilo74,375,iw9,,0,45191DA856E0D315,0,
1523,attachment,pgrip_dm_snp_p02,376,iw9,LAUNCH,0,1DFC62B7F75F22E4,0,
1524,attachment,comb_heavy_p06,377,iw9,,0,5D8F1CDA6F177973,0,
1525,attachment,mag_ar_p01,378,iw9,,0,74ABC45418915298,0,
1530,attachment,mag_sn_xlarge_p05,379,iw9,,0,424F2AF9F29B2B1C,0,
1532,attachment,rec_mike16,380,iw9,,0,4C8BB3B2A48DBD5D,0,
1533,attachment,ammo_9m_op,381,iw9,LAUNCH,0,45BF9F589B930F4A,0,
