23159,jup_ob_sb_ch_s1_p4_really,0,0,0,1,46474,3000,4,4,,,0,1000,,,0
23163,jup_ob_sb_ch_s1_p4_prestige_4_mastery,0,0,0,4,36214,5000,4,8,23153|23155|23160|23159,,0,1000,,,0
23164,jup_ob_sb_ch_s1_p5_shock_and_awe,0,0,0,300,46484,3000,5,1,,,0,1000,,,0
23166,jup_ob_sb_ch_s1_p5_untouchable,0,0,0,1,46481,3000,5,2,,,0,1000,,,0
23330,jup_ob_sb_ch_s1_p5_slippery_slope,0,0,0,100,46476,3000,5,3,,,0,1000,,,0
23335,jup_ob_sb_ch_s1_p5_endless_massacre,0,0,0,300,44350,3000,5,4,,,0,1000,,,0
23334,jup_ob_sb_ch_s1_p5_prestige_5_mastery,0,0,0,4,44288,5000,5,10,23164|23166|23330|23335,,0,1000,,,0
27187,jup_ob_sb_ch_s2_p6_quest_essential,0,0,0,100,6657,1000,6,1,,,0,2000,,,0
27188,jup_ob_sb_ch_s2_p6_wall_of_wonders,0,0,0,10,6657,1000,6,2,,,0,2000,,,0
27189,jup_ob_sb_ch_s2_p6_monkey_business,0,0,0,20,6657,1000,6,3,,,0,2000,,,0
27190,jup_ob_sb_ch_s2_p6_critical_carnage,0,0,0,250,6657,1000,6,4,,,0,2000,,,0
27184,jup_ob_sb_ch_s2_p6_prestige_matery_6,0,0,0,4,6657,2500,6,12,27187|27188|27189|27190,,0,2000,,,0
27196,jup_ob_sb_ch_s2_p7_turret_triumph,0,0,0,75,6657,1000,7,1,,,0,2000,,,0
27197,jup_ob_sb_ch_s2_p7_spending_spree,0,0,0,5,6657,1000,7,2,,,0,2000,,,0
27198,jup_ob_sb_ch_s2_p7_guards_day_out,0,0,0,100,6657,1000,7,3,,,0,2000,,,0
27199,jup_ob_sb_ch_s2_p7_nuke_n_clear,0,0,0,25,6657,1000,7,4,,,0,2000,,,0
27200,jup_ob_sb_ch_s2_p7_prestige_mastery_7,0,0,0,4,6657,2500,7,14,27196|27197|27198|27199,,0,2000,,,0
27213,jup_ob_sb_ch_s2_p8_pistol_precision,0,0,0,20,6657,1000,8,1,,,0,2000,,,0
27214,jup_ob_sb_ch_s2_p8_pack_a_lot,0,0,0,25,6657,1000,8,2,,,0,2000,,,0
27215,jup_ob_sb_ch_s2_p8_air_patrol,0,0,0,15,6657,1000,8,3,,,0,2000,,,0
27216,jup_ob_sb_ch_s2_p8_shocking_streak,0,0,0,5,6657,1000,8,4,,,0,2000,,,0
27217,jup_ob_sb_ch_s2_p8_prestige_mastery_8,0,0,0,4,6657,2500,8,16,27213|27214|27215|27216,,0,2000,,,0
27218,jup_ob_sb_ch_s2_p9_purple_boom,0,0,0,100,6657,1000,9,1,,,0,2000,,,0
27219,jup_ob_sb_ch_s2_p9_transparent_perspective,0,0,0,50,6657,1000,9,2,,,0,2000,,,0
27220,jup_ob_sb_ch_s2_p9_oh_thats_refined,0,0,0,1,6657,1000,9,3,,,0,2000,,,0
27221,jup_ob_sb_ch_s2_p9_rabbit_hunt,0,0,0,5,6657,1000,9,4,,,0,2000,,,0
27222,jup_ob_sb_ch_s2_p9_prestige_mastery_9,0,0,0,4,6657,2500,9,18,27218|27219|27220|27221,,0,2000,,,0
